
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  15820 Services                   0      3,444 K
svchost.exe                  30344 Services                   0      5,900 K
svchost.exe                  16492 Services                   0     92,616 K
WmiPrvSE.exe                 33124 Services                   0     39,040 K
svchost.exe                  32764 Services                   0      9,308 K
svchost.exe                  33520 Services                   0     15,928 K
dasHost.exe                  15896 Services                   0     11,960 K
dasHost.exe                  15144 Services                   0      9,052 K
svchost.exe                   8784 Services                   0     91,040 K
csrss.exe                     3060 Console                    7      8,888 K
winlogon.exe                  7752 Console                    7     23,156 K
fontdrvhost.exe              12512 Console                    7      8,700 K
dwm.exe                      11172 Console                    7   1,09,168 K
nvcontainer.exe              14032 Console                    7     43,044 K
NVDisplay.Container.exe      11600 Console                    7     51,276 K
svchost.exe                  31208 Services                   0      7,756 K
uihost.exe                   31244 Console                    7     40,620 K
mc-fw-host.exe               26724 Console                    7     31,772 K
nvcontainer.exe              30420 Console                    7     34,628 K
nvcontainer.exe              19808 Console                    7     76,200 K
sihost.exe                   19956 Console                    7     51,732 K
svchost.exe                  30376 Console                    7     11,604 K
svchost.exe                  19884 Console                    7     37,668 K
svchost.exe                  31156 Console                    7     11,556 K
svchost.exe                  18056 Console                    7     46,196 K
taskhostw.exe                27276 Console                    7     24,188 K
FnHotkeyCapsLKNumLK.exe      31300 Console                    7     22,152 K
explorer.exe                 19180 Console                    7   3,79,468 K
FnHotkeyUtility.exe          23452 Console                    7     41,032 K
ShellHost.exe                20868 Console                    7     62,428 K
unsecapp.exe                 27248 Console                    7     10,088 K
CrossDeviceResume.exe        20272 Console                    7     72,000 K
MessagingPlugin.exe          24692 Console                    7     45,300 K
conhost.exe                   1080 Console                    7      7,232 K
NahimicSvc64.exe              3152 Console                    7     11,796 K
NahimicSvc32.exe             23056 Console                    7      5,924 K
NahimicAPO4Volume.exe        31848 Console                    7      8,720 K
svchost.exe                   8632 Services                   0     12,380 K
nvsphelper64.exe             17688 Console                    7     17,408 K
NVIDIA Overlay.exe           28860 Console                    7   1,94,996 K
CrossDeviceService.exe       24960 Console                    7   1,43,380 K
svchost.exe                  23028 Console                    7     28,220 K
NVIDIA Overlay.exe           24280 Console                    7     73,784 K
NVIDIA Overlay.exe           16724 Console                    7     37,096 K
NVIDIA Overlay.exe           17648 Console                    7     23,748 K
SearchHost.exe                6036 Console                    7   1,77,900 K
StartMenuExperienceHost.e     3604 Console                    7   1,67,968 K
unsecapp.exe                  3672 Console                    7     10,368 K
Widgets.exe                  23516 Console                    7     57,896 K
svchost.exe                  16024 Console                    7     32,876 K
UserOOBEBroker.exe           25548 Console                    7     11,656 K
